,business_name,one_line_address,longitude,latitude,street,zip,Industry,line_of_business,category
31,World Optical,"2 WORLD FINANCIAL CENTER, NEW YORK, NY 10280",-74.015677,40.713252000000004,2 World Financial Ctr,10281,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
32,101 Park Avenue Ophthalmology,"101 PARK AVENUE, NEW YORK, NY 10017",-73.977753,40.750876,101 Park Ave,10178,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
33,Optical Penn,"450 FASHION AVENUE STE 300, NEW YORK, NY 10123",-73.990708,40.751456,450 Fashion Ave Ste 300,10123,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
34,Studio Optix,"63 WEST 49TH STREET STE 1, NEW YORK, NY 10112",-73.979259,40.758696,63 W 49th St Ste 1,10112,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
35,A and A Optical Inc,"2819 MERMAID AVENUE, BROOKLYN, NY 11224",-73.995065,40.575708,2819 Mermaid Ave,11224,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
36,Ocean View Optical Inc,"944 KINGS HIGHWAY, BROOKLYN, NY 11223",-73.96246,40.60703,944 Kings Hwy,11223,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
37,Modern Optika Inc,"453 KINGS HIGHWAY STE A, BROOKLYN, NY 11223",-73.972981,40.604507,453 Kings Hwy Ste A,11223,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
38,Elliott M Feinman MD,"4966 BROADWAY, NEW YORK, NY 10034",-73.919892,40.867782,4966 Broadway,10034,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
39,Vision Quest Optical,"905 WHITE PLAINS ROAD, BRONX, NY 10473",-73.859144,40.824339,905 White Plains Rd,10473,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
40,Pildes Optical,,-73.98087,40.782990000000005,2193 Broadway Frnt 1,10024,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
41,Lens Lab Express,"125 EAST FORDHAM ROAD, BRONX, NY 10468",-73.898656,40.862509,125 E Fordham Rd,10468,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
42,Wall St Optical,"67 WALL STREET, NEW YORK, NY 10005",-74.008397,40.705546999999996,67 Wall St,10005,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
43,Assoc Ophthalmologists,"150 BROADWAY RM 1401, NEW YORK, NY 10038",-74.010072,40.709181,150 Broadway Rm 1401,10038,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
44,Petite Optique,"193 WEST 4TH STREET, NEW YORK, NY 10014",-74.002114,40.733009,193 W 4th St,10014,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
45,Ultra Care Vision Inc,"331 EAST 14TH STREET, NEW YORK, NY 10003",-73.983461,40.732037,331 E 14th St,10003,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
46,Eyes and Optics,"128 LEE AVENUE, BROOKLYN, NY 11211",-73.958074,40.703841,128 Lee Ave,11211,OPTICIANS,EYEWEAR AND EYECARE,SHOPPING
48,Melin Design,"253 ROUTE 202ND STE 8, SOMERS, NY 10589",-73.688497,41.328878,253 Route 202 Ste 8,10589,ARTISTS - FINE ARTS,MISC SHOPPING,SHOPPING
49,Starving Artist Studio & Gallery Dbe Inc,"249 CITY ISLAND AVENUE, BRONX, NY 10464",-73.78607199999999,40.845413,249 City Island Ave,10464,ARTISTS - FINE ARTS,MISC SHOPPING,SHOPPING
50,Blue Man Group,"599 BROADWAY FL 6, NEW YORK, NY 10012",-73.99739699999999,40.725401,599 Broadway Fl 6,10012,ARTISTS - FINE ARTS,MISC SHOPPING,SHOPPING
51,Workshop Fine Art LLC,"488 MORGAN AVENUE, BROOKLYN, NY 11222",-73.93775,40.720537,488 Morgan Ave,11222,ARTISTS - FINE ARTS,MISC SHOPPING,SHOPPING
52,Mariam Halstuch,"1856 FLATBUSH AVENUE, BROOKLYN, NY 11210",-73.939164,40.624353,1856 Flatbush Ave,11210,ARTISTS - FINE ARTS,MISC SHOPPING,SHOPPING
53,MIA Pearlman Studio Inc,"316 DEAN STREET, BROOKLYN, NY 11217",-73.9811,40.68377,316 Dean St,11217,ARTISTS - FINE ARTS,MISC SHOPPING,SHOPPING
55,Kosherline LLC,"45 PROSPECT STREET, YONKERS, NY 10701",-73.90231700000001,40.932695,45 Prospect St,10701,GIFT BASKETS AND PARCELS,MISC SHOPPING,SHOPPING
